Peacetika,Old Gold (1989-91),Cows,252.4ø
Closing Time,The Independent Singles Collection,The Monochrome Set,206.0ø
All Over,The Independent Singles Collection,The Monochrome Set,206.0ø
They Got to Come,Mums and Dads Reggae Favourites,Derrick Morgan,197.8ø
Tell Me Darling,Mums and Dads Reggae Favourites,Derrick Morgan,210.4ø
I Shall Not Remove,Mums and Dads Reggae Favourites,Derrick Morgan,211.7ø
Humpty Dumpty,Mums and Dads Reggae Favourites,Derrick Morgan,197.1ø
Easy Snapping,Mums and Dads Reggae Favourites,Derrick Morgan,231.4ø
Paperback Man,Best Of The Kerrville Folk Festival,Ellis Paul,295.7ø
Kerosene,Blue Melody - Live from the South,Simon Joyner,341.2ø
Jah Jah Bless The Dreadlocks,Trojan Roots Collection,The Mighty Diamonds,170.3ø
Nil By Mouth,Executive Suite,The Wiseguys,351.7ø
You Don't Hear,20th Century Masters: The Millennium Collection: Best of Kitty Wells,Kitty Wells,150.0ø
Toothless & Grey (live),Live,Skankin' Pickle,229.6ø
Thick Ass Stout (live),Live,Skankin' Pickle,291.7ø
Rotten Banana Legs (live),Live,Skankin' Pickle,176.8ø
Pabu Boy (live),Live,Skankin' Pickle,79.6ø
Margaret Cho Show (live),Live,Skankin' Pickle,100.2ø
Little Brown Jug (live),Live,Skankin' Pickle,81.7ø
Ice Cube Korea Wants A Word With You (live),Live,Skankin' Pickle,93.9ø
Hussein Skank (live),Live,Skankin' Pickle,203.6ø
Hussein Skank,Skankin' Pickle Fever,Skankin' Pickle,203.1ø
Fights (live),Live,Skankin' Pickle,202.2ø
Fights,Skafunkrastapunk,Skankin' Pickle,245.5ø
Asian Man (live),Live,Skankin' Pickle,194.9ø
Anxiety Attack (live),Live,Skankin' Pickle,169.8ø
Anxiety Attack,Skankin' Pickle Fever,Skankin' Pickle,171.8ø
El Ultimo Golpe,Un Palo Al Agua (20 Grandes Canciones),Rosendo,172.9ø
Rigoletto,Istocno Od Gajnica - Live,Hladno Pivo,189.3ø
Il Gioco Di Sandy,Destinazione Paradiso,Gianluca Grignani,219.1ø
La Descarga Del Bobo,Present Latin Verve Sounds,Willie Bobo,338.2ø
Feel It In The Flesh,Flesh,Call,160.9ø
There's A Drink In It,Last Tango In Moscow,Angelic Upstarts,176.1ø
Machine Gun Kelly,Last Tango In Moscow,Angelic Upstarts,155.8ø
Let Me Be the One,Please Help Me I'm Fallin',Hank Locklin,150.3ø
Remembrance Day (Remix 1),Indie Pick N Remix,B-Movie,246.2ø
Yeah Yeah Brother,It's Great When You're Straight ... Yeah,Black Grape,250.2ø
Tramazi Parti,It's Great When You're Straight ... Yeah,Black Grape,285.2ø
Submarine,It's Great When You're Straight ... Yeah,Black Grape,230.8ø
Shake Your Money,It's Great When You're Straight ... Yeah,Black Grape,254.0ø
Shake Well Before Opening,It's Great When You're Straight ... Yeah,Black Grape,340.8ø
Reverend Black Grape,Reverend Black Grape Hit Pac,Black Grape,313.8ø
Little Bob,It's Great When You're Straight ... Yeah,Black Grape,334.1ø
Kelly's Heroes,Reverend Black Grape Hit Pac,Black Grape,262.5ø
In The Name Of The Father,Reverend Black Grape Hit Pac,Black Grape,261.7ø
A Big Day In The North,It's Great When You're Straight ... Yeah,Black Grape,250.4ø
Coisinha Do Pai,Pagode De Mesa (Ao Vivo),Beth Carvalho,168.9ø
Easin' In,Lifestyle2 - Jazz Grooves Vol 1,Edwin Starr,195.6ø
Shotgun Blues,My Little Machine,Sonny Boy Williamson,176.2ø
My Little Machine,Bluebird Blues - When The Sun Goes Down Series,Sonny Boy Williamson,175.4ø
Million Years Blues,Blues Legends 1940 - 1949,John Lee Williamson,183.5ø
Jivin' The Blues,Sloppy Drunk Blues,Sonny Boy Williamson,173.3ø
Ground Hog Blues,Sonny Boy Williamson Vol. 4 (1941 - 1945),Sonny Boy Williamson,180.5ø
Good Gravy,The Right Kind Of Life,John Lee Williamson,165.1ø
Decoration Blues,Blue Bird Blues,John Lee 'Sonny Boy' Williamson,212.5ø
Blue Bird Blues,Blue Bird Blues,John Lee 'Sonny Boy' Williamson,185.4ø
Media Naranja,Exitos,Fey,221.2ø
La Noche Se Mueve,Exitos,Fey,265.6ø
Being Me,Abbey Sings Abbey,Abbey Lincoln,235.6ø
Time Went Slow,Gyral,Scorn,585.2ø
The End PCM - Nightmare Mix,Ellipsis,Scorn,460.3ø
Stairway,Gyral,Scorn,490.9ø
Six Hours One Week,Gyral,Scorn,400.0ø
Light Trap Scorn Mix,Ellipsis,Scorn,369.0ø
Forever Turning,Gyral,Scorn,318.5ø
Black Box,Gyral,Scorn,461.2ø
The Minstrel,The Gift Of Excalibur,Medwyn Goodall,335.7ø
My Lady's Favour,Grail Quest,Medwyn Goodall,372.2ø
Merlin's Cave,All Good Things (Best of Collection),Medwyn Goodall,260.4ø
Lancelot du Lac,All Good Things (Best of Collection),Medwyn Goodall,386.0ø
King Arthur - part 2,The Gift of Excalibur,Medwyn Goodall,218.7ø
King Arthur,Momentum,Medwyn Goodall,201.3ø
Endless Search,Grail Quest,Medwyn Goodall,492.2ø
Shakin' All Over,25 Greatest Hits,The Swinging Blue Jeans,124.8ø
Sandy,The Best Of 1963-1966,The Swinging Blue Jeans,151.7ø
Promise You'll Tell Her,25 Greatest Hits,The Swinging Blue Jeans,130.0ø
Now The Summer's Gone,25 Greatest Hits,The Swinging Blue Jeans,166.7ø
It Isn't There,25 Greatest Hits,The Swinging Blue Jeans,136.6ø
Do You Know,The Hippy Hippy Shake,The Swinging Blue Jeans,146.5ø
Crazy 'Bout My Baby,25 Greatest Hits,The Swinging Blue Jeans,166.4ø
Angie,25 Greatest Hits,The Swinging Blue Jeans,104.6ø
Super Kumba,Anthology,Manu Dibango,481.4ø
Wornell's Yorkies,Bing! Bing! Bing!,The Charlie Hunter Trio,240.2ø
Squiddlesticks,Bing! Bing! Bing!,The Charlie Hunter Trio,246.7ø
Scrabbling For Purchase,Bing! Bing! Bing!,The Charlie Hunter Trio,289.1ø
Lazy Susan (with a client now),Bing! Bing! Bing!,The Charlie Hunter Trio,375.7ø
Elbo Room,Bing! Bing! Bing!,The Charlie Hunter Trio,358.1ø
Come As You Are,Bing! Bing! Bing!,The Charlie Hunter Trio,370.7ø
Bullethead,Bing! Bing! Bing!,The Charlie Hunter Trio,333.7ø
Don Alfredo,Die sieben Wunder der Welt,Karat,301.8ø
Der achte Tag,Ich liebe jede Stunde,Karat,284.9ø
Furry's Blues,In His Prime 1927-1928,Furry Lewis,194.6ø
Seize The Day,Sieze The Day And Other Stories,Carolyn Arends,322.9ø
Passport To Heaven,RMB & Friends - A Tribute To RMB,RMB,429.2ø
Western Reg (Ocean Mix),Sepia Blanco & Negro,Vilma E Vampiros Palma,278.1ø
Sos Como El Sol,Sepia Blanco & Negro,Vilma E Vampiros Palma,284.3ø
Se Puede Salir,Sepia Blanco & Negro,Vilma E Vampiros Palma,265.3ø
Que No Me Deje Sin Su Amor,Sepia Blanco & Negro,Vilma E Vampiros Palma,296.5ø
Morondanga (Raga Mix),Sepia Blanco & Negro,Vilma E Vampiros Palma,226.7ø
Morondanga,Sepia Blanco & Negro,Vilma E Vampiros Palma,247.4ø
Cute 'N Pretty,A Slice Of The Top,Hank Mobley,456.2ø
A Slice Of The Top,A Slice Of The Top,Hank Mobley,579.2ø
Virtuale,Mondo,Luca Carboni,252.0ø
Ni-Na-Na,Mondo,Luca Carboni,218.0ø
Kalore,Mondo,Luca Carboni,191.0ø
Inno Nazionale,The Best Of,Luca Carboni,236.9ø
Ex.T. Blu,Mondo,Luca Carboni,250.0ø
The Cycle Continues,Earth Songs/Precious Waters,R. Carlos Nakai,100.7ø
Interlude: First Snow,Earth Songs/Precious Waters,R. Carlos Nakai,32.6ø
Interlude: Desert Call,Earth Songs/Precious Waters,R. Carlos Nakai,37.1ø
Nicky,World of Make Believe - A Scenic Tour Around El Records,Momus,255.8ø
A Complete History Of Sexual Jealousy,Slender Sherbet,Momus,367.9ø
Past The Point Of Rescue,25 Years/25 Songs,Mary Black,200.6ø
Looking Forward,Circus,Mary Black,217.6ø
Columbus,25 Years/25 Songs,Mary Black,322.7ø
carolina rua,25 Years/25 Songs,Mary Black,153.0ø
Warrior,Everyday Life,Alpha & Omega,205.4ø
Show Me A Purpose,Dub Plate Selection 1,Alpha & Omega,257.4ø
Pure & Clean,Dub Plate Selection 1,Alpha & Omega,223.1ø
Jerusalem,Dub Plate Selection - Volume 2,Alpha & Omega,251.5ø
Party Party,Greatest Hits,Eruption,150.0ø
Go Johnny Go,Greatest Hits,Eruption,234.2ø
Venduto (3x2),Paranoia e potere,Punkreas,179.0ø
Tutti in pista,90 93,Punkreas,350.8ø
Sfratto,Paranoia e potere,Punkreas,223.6ø
Marte,Paranoia e potere,Punkreas,151.5ø
La grande danza,Paranoia e potere,Punkreas,202.5ø
La canzone del bosco,Paranoia e potere,Punkreas,192.9ø
L'orologio,Paranoia e potere,Punkreas,160.0ø
I chiromanti,Paranoia e potere,Punkreas,154.5ø
Falsi preoccupati,Paranoia e potere,Punkreas,155.8ø
Aidid,Paranoia e potere,Punkreas,163.5ø
Conduction,Conduction Remixes,Johnny Fiasco,329.0ø
People Get Ready,Still Groovin,Paul Carrack,153.8ø
Love Will Keep Us Alive,Old_ New_ Borrowed and Blue,Paul Carrack,214.6ø
Eyes Of Blue,I Know That Name,Paul Carrack,238.3ø
Sapore Di Sale,'89 Dal Vivo,Gino Paoli,167.2ø
Joskus,Egotrippi,Egotrippi,167.9ø
Hulluus Ovella Kolkuttaa,Egotrippi,Egotrippi,157.5ø
The Dreams You Dread,Transcend The Rubicon / The Dreams You Dread,BENEDICTION,133.0ø
Soulstream,Transcend The Rubicon / The Dreams You Dread,BENEDICTION,252.9ø
Saneless Theory,Transcend The Rubicon / The Dreams You Dread,BENEDICTION,251.7ø
Negative Growth,Transcend The Rubicon / The Dreams You Dread,BENEDICTION,221.0ø
Griefgiver,Transcend The Rubicon / The Dreams You Dread,BENEDICTION,299.7ø
Down On Whores (Leave Them All For Dead),The Dreams you Dread,BENEDICTION,323.1ø
Yvesday,Bonzai 5 - Into Another Dimension - Full Length Edition,Yves Deruyter,452.9ø
Outsiders,Bonzai 5 - Into Another Dimension - Full Length Edition,Yves Deruyter,514.1ø
Never Deceive You,Life Is For Living,Horace Andy,223.0ø
Nah Dis You,Life Is For Living,Horace Andy,225.7ø
Life Is For Living,Life Is For Living,Horace Andy,436.3ø
Fever,Skylarking - The Best Of Horace Andy,Horace Andy,121.9ø
Dub There,In The Light - In The Light Dub,Horace Andy,289.6ø
Dub Is Bad,Life Is For Living,Horace Andy,200.3ø
Do You Love My Music,In The Light - In The Light Dub,Horace Andy,242.7ø
Collie Dub,In The Light - In The Light Dub,Horace Andy,300.1ø
Yesterday I Had The Blues,The Ultimate Blue Notes,Harold Melvin & The Blue Notes,452.5ø
New Girlfriend,Best Of MTX Volume 1,Mr. T Experience,78.2ø
Well Fed,Anything Near Water,Chokebore,257.3ø
Weightless,Anything Near Water,Chokebore,235.1ø
Wash (You Glow),Anything Near Water,Chokebore,344.2ø
Thin As Clouds,Anything Near Water,Chokebore,250.4ø
Strangely Folded,Anything Near Water,Chokebore,184.0ø
Plus More,Anything Near Water,Chokebore,155.5ø
JJ Slow,Anything Near Water,Chokebore,206.1ø
Foreign Devils On The Silk Road,Anything Near Water,Chokebore,162.4ø
Dust,Anything Near Water,Chokebore,55.2ø
Cursor,Anything Near Water,Chokebore,220.4ø
Comeback Thursday,Anything Near Water,Chokebore,274.0ø
Bad Things,Anything Near Water,Chokebore,140.0ø
Tek Him,Strictly The Best Vol.5,Mad Cobra,225.8ø
Guilty,Gravity Kills,Gravity Kills,241.9ø
Give My Life,Give My Life,Army Of Lovers,522.7ø
Let Her Feel the Rain,Silence,Tara MacLean,326.6ø
The Love Policeman,My Favourite Flavours,Captain Sensible,305.6ø
Collateral Damage,Hair: Debatable,Atom And His Package,57.6ø
Avenger,Hair: Debatable,Atom And His Package,193.0ø
Torrey Canyon,Pink Elephants,Mick Harvey,192.8ø
The Sun Directly Overhead,Intoxicated Man,Mick Harvey,173.9ø
The Song Of Slurs,Intoxicated Man,Mick Harvey,159.0ø
The Barrel Of My 45,Intoxicated Man,Mick Harvey,131.7ø
Sex Shop,Intoxicated Man,Mick Harvey,198.5ø
Lemon Incest,Intoxicated Man,Mick Harvey,111.5ø
Intoxicated Man,Intoxicated Man,Mick Harvey,156.7ø
Initials B.B.,Intoxicated Man,Mick Harvey,228.4ø
I Have Come To Tell You I'M Going,Intoxicated Man,Mick Harvey,173.8ø
Harley Davidson,Intoxicated Man,Mick Harvey,164.3ø
Ford Mustang,Intoxicated Man,Mick Harvey,137.6ø
The Dealer (Down and Losin'),For All Mankind,Christie,179.3ø
Pleasure & Pain,For All Mankind,Christie,165.6ø
Picture Painter,For All Mankind,Christie,188.6ø
Peace Lovin' Man,For All Mankind,Christie,188.5ø
Martian King,For All Mankind,Christie,327.4ø
Man Of Many Faces,For All Mankind,Christie,141.2ø
Magic Highway,For All Mankind,Christie,341.7ø
If Only,For All Mankind,Christie,265.2ø
I'm Alive,For All Mankind,Christie,223.6ø
I Believe In You,For All Mankind,Christie,294.6ø
For All Mankind,For All Mankind,Christie,255.9ø
Fools Gold,For All Mankind,Christie,192.5ø
Everything's Gonna Be Alright,For All Mankind,Christie,160.0ø
Every Now And Then,For All Mankind,Christie,201.9ø
Country B. Sam,For All Mankind,Christie,193.6ø
Alabama,For All Mankind,Christie,224.4ø
Problema,De Aki A Ketama,Ketama,261.6ø
Tip-Toeing,Hard Bop (Lee Morgan Volume 3),Lee Morgan Sextet,396.6ø
Stand By,Hard Bo ( Lee Morgan - Indeed),Lee Morgan,348.1ø
Roccus,Hard Bo ( Lee Morgan - Indeed),Lee Morgan,497.8ø
Reggie of Chester,Hard Bo ( Lee Morgan - Indeed),Lee Morgan,293.9ø
New-Ma,Hard Bop (Lee Morgan - The Cooker),Lee Morgan,492.0ø
Little T,Hard Bo ( Lee Morgan - Indeed),Lee Morgan,503.4ø
Just One of Those Things,Hard Bop (Lee Morgan - The Cooker),Lee Morgan,433.3ø
Heavy Dipper,Hard Bop (Lee Morgan - The Cooker),Lee Morgan,421.7ø
Gaza Strip,Hard Bo ( Lee Morgan - Indeed),Lee Morgan,234.6ø
Dear Sir,The Procrastinator,Lee Morgan,415.4ø
C.T.A.,Candy,Lee Morgan,306.8ø
Wrong Em Boyo,Barfly,Buck-O-Nine,154.0ø
Water In My Head,Water In My Head,Buck-O-Nine,188.9ø
Teenagers From Mars,Barfly,Buck-O-Nine,129.5ø
Still Remains,Barfly,Buck-O-Nine,159.0ø
Sound System,Barfly,Buck-O-Nine,109.0ø
Pass The Dutchie,Barfly,Buck-O-Nine,168.0ø
On A Mission,Barfly,Buck-O-Nine,169.1ø
Junior,Barfly,Buck-O-Nine,126.0ø
Full Metal Bree,Barfly,Buck-O-Nine,139.0ø
Callin' In Sick,Barfly,Buck-O-Nine,154.5ø
Away,Barfly,Buck-O-Nine,163.0ø
Que Te Importa,Boleros De Siempre - Antonio Aguilar,Antonio Aguilar,165.6ø
La Mula,Antonio Aguilar,Antonio Aguilar,149.1ø
El Charro Ponciano,Rancheras De Relajo,Antonio Aguilar,178.4ø
All Hype,The Sun Is Often Out,Longpigs | Hugh Jones,203.8ø
This Town Can't Get Over You (Album Version),Stories,Maura O'connell,149.9ø
Stories (Album Version),Stories,Maura O'connell,232.8ø
Shotgun Down The Avalanche (Album Version),Stories,Maura O'connell,239.6ø
Love Divine (Album Version),Stories,Maura O'connell,217.7ø
If I Fell (Album Version),Stories,Maura O'connell,166.1ø
Half Moon (Album Version),Stories,Maura O'connell,291.8ø
Blue Chalk (Album Version),Stories,Maura O'connell,212.0ø
Vago,Volvio La Alegria_ Vieja !!!,2 Minutos,160.3ø
Todo Lo Miro,Novedades,2 Minutos,132.1ø
Q.E.P.D.,Novedades,2 Minutos,88.2ø
Otra Vez (La Casa De Juan),Novedades,2 Minutos,168.0ø
Mosca De Bar,Novedades,2 Minutos,166.9ø
Laburantes,Novedades,2 Minutos,87.9ø
El Mejor Recuerdo,Novedades,2 Minutos,130.8ø
Borracho Y Agresivo,Novedades,2 Minutos,104.5ø
Ataque,Volvio La Alegria_ Vieja !!!,2 Minutos,94.0ø
Plonk,Sci-Fi,Richard Bartz,316.8ø
Mad Butcher,Sci-Fi,Richard Bartz,316.8ø
Double Trouble,Sci-Fi,Richard Bartz,367.6ø
Blunted,Sci-Fi,Richard Bartz,429.7ø
You (Make My Life Come True),Can We Go Home Now,The Roches,331.9ø
When You're Ready,Can We Go Home Now,The Roches,294.0ø
So,Can We Go Home Now,The Roches,287.1ø
My Winter Coat,Can We Go Home Now,The Roches,507.1ø
Move Roche,Can We Go Home Now,The Roches,239.4ø
I'm Someone Who Loves You,Can We Go Home Now,The Roches,266.0ø
Home Away From Home,Can We Go Home Now,The Roches,245.0ø
Holidays,Can We Go Home Now,The Roches,220.6ø
Christlike Roche,Can We Go Home Now,The Roches,338.3ø
Can We Go Home Now,Can We Go Home Now,The Roches,518.4ø
Unplugged,Two Headed,Spirit of the West,193.7ø
Never Had It In Me,Two Headed,Spirit of the West,265.6ø
Can't Accept The Saint,Two Headed,Spirit of the West,324.0ø
Blood And Honey,Two Headed,Spirit of the West,297.6ø
True to Form,Silver Sweepstakes,Knapsack,144.2ø
Trainwrecker,Silver Sweepstakes,Knapsack,234.9ø
Silver Sweepstakes,Silver Sweepstakes,Knapsack,355.9ø
Makeshift,Silver Sweepstakes,Knapsack,88.3ø
Fortunate and Holding,Silver Sweepstakes,Knapsack,230.7ø
Effortless,Silver Sweepstakes,Knapsack,193.8ø
Centennial,Silver Sweepstakes,Knapsack,227.4ø
Cellophane,Silver Sweepstakes,Knapsack,211.5ø
Casanova,Silver Sweepstakes,Knapsack,163.8ø
Addressee,Silver Sweepstakes,Knapsack,354.8ø
Will Of The Gun,Ragged Ass Road,Tom Cochrane,286.2ø
Wildest Dreams,Ragged Ass Road,Tom Cochrane,251.8ø
Paper Tigers,Ragged Ass Road,Tom Cochrane,235.9ø
Message (Rise Up Again),Ragged Ass Road,Tom Cochrane,273.1ø
Just Scream,Ragged Ass Road,Tom Cochrane,293.0ø
Flowers In The Concrete,Ragged Ass Road,Tom Cochrane,242.3ø
Dreamer's Dream,Ragged Ass Road,Tom Cochrane,297.0ø
Best Waste Of Time,Ragged Ass Road,Tom Cochrane,275.7ø
Rub Dub,Brand,Keith Hudson,232.6ø
Rasta Took The Blame,Brand,Keith Hudson,205.1ø
National Anthem,Brand,Keith Hudson,187.5ø
My Eyes Are Red Dub,Brand,Keith Hudson,257.7ø
Musicology Dub,Brand,Keith Hudson,211.2ø
Image Dub,Brand,Keith Hudson,220.0ø
Felt The Strain Dub,Brand,Keith Hudson,168.3ø
Barrabas Dub,Brand,Keith Hudson,146.8ø
What's Goin' On Baby,The Excello Singles Anthology,Slim Harpo,168.4ø
Still Rainin' In My Heart,The Excello Singles Anthology,Slim Harpo,182.2ø
Little Queen Bee (Got A Brand New King),The Excello Singles Anthology,Slim Harpo,159.6ø
Ella,En Concierto,Chavela Vargas,304.8ø
Con Mis Propias Manos,Somos,Chavela Vargas,307.5ø
Heartbeat,Dare to Love,Somerville_ Jimmy,265.8ø
Waiting In Green Velvet,Delilah Blue,Joshua Kadison,299.7ø
The Song On Neffertiti's Radio (My Love),Delilah Blue,Joshua Kadison,248.5ø
The Pearl,Delilah Blue,Joshua Kadison,419.0ø
The Gospel According To My Ol' Man,Delilah Blue,Joshua Kadison,333.4ø
Take It On Faith,Delilah Blue,Joshua Kadison,241.9ø
Rosie And Pauly,Delilah Blue,Joshua Kadison,273.5ø
Listen To The Lambs,Delilah Blue,Joshua Kadison,99.9ø
Jus' Like Brigitte Bardot,Delilah Blue,Joshua Kadison,472.2ø
Delilah Blue,Delilah Blue,Joshua Kadison,589.7ø
Amsterdam,Delilah Blue,Joshua Kadison,293.4ø
Louie Louie,The Louie Louie Collection,Paul Revere & The Raiders,145.1ø
We Don't Wanna Sit Down_ We Wanna Get Down,Best Of Brick,Brick,360.3ø
Sweat (Til You Get Wet),Best Of Brick,Brick,208.1ø
Ain't Gonna Hurt Nobody,Best Of Brick,Brick,330.2ø
Skyway,The Singles,Tullycraft,105.5ø
Midnight And You,Pieces Of Dreams,Stanley Turrentine,275.0ø
I'm In Love,Pieces Of Dreams,Stanley Turrentine,215.2ø
Blanket On The Beach,Pieces Of Dreams,Stanley Turrentine,265.6ø
We Love You,We Love You,Menswear,266.1ø
The One (Live),We Love You,Menswear,200.0ø
Sunday Driver,Sleeping In,Menswear,206.8ø
Sleeping In (Live),We Love You,Menswear,297.2ø
Sleeping In,Sleeping In,Menswear,224.6ø
Now Is The Hour,Sleeping In,Menswear,168.7ø
Little Miss Pinpoint Eyes (Live),We Love You,Menswear,131.2ø
Gentleman Jim,Menswear / Daydreamer,Menswear,143.5ø
Daydreamer,Menswear / Daydreamer,Menswear,138.0ø
Being Brave,Being Brave,Menswear,244.5ø
Around You Again (Live Version),Menswear / Daydreamer,Menswear,178.5ø
26 Years,Sleeping In,Menswear,126.2ø
Funky Street,Soul Clan,Arthur Conley,143.4ø
Unsolved Child Murder,After Murder Park,The Auteurs,128.7ø
C'est chaud,Begegnungen,Sonny Landreth;Peter Maffay,206.4ø
You_ Me & God,Duffy,Stephen Duffy,254.2ø
The Waitress' Story,Duffy,Stephen Duffy,258.0ø
The Girl Of The Year,Duffy,Stephen Duffy,295.5ø
Sugar High (Slow Version),Duffy,Stephen Duffy,238.6ø
Sugar High,Duffy,Stephen Duffy,228.2ø
Starfit,Duffy,Stephen Duffy,154.0ø
Smitten,Duffy,Stephen Duffy,291.6ø
Rachel,Duffy,Stephen Duffy,259.7ø
Needle Mythology,Duffy,Stephen Duffy,222.3ø
Mr. 20th Century Man,Duffy,Stephen Duffy,209.0ø
London Girls,Duffy,Stephen Duffy,196.0ø
Jane,Duffy,Stephen Duffy,234.7ø
A Vision Of Bliss,Duffy,Stephen Duffy,278.6ø
A Child Is Waiting,Duffy,Stephen Duffy,276.5ø
Si Tu Veux Le Savoir,C'Est Ca Lavoine,Marc Lavoine,190.7ø
Pour Une Biguine Avec Toi,La Cigale,Marc Lavoine,267.6ø
Le Parking Des Anges,La Cigale,Marc Lavoine,262.5ø
Le Monde Est Tellement Con,La Cigale,Marc Lavoine,233.9ø
Elle A Les Yeux Revolver,C'Est Ca Lavoine,Marc Lavoine,217.2ø
Bascule Avec Moi,C'Est Ca Lavoine,Marc Lavoine,221.6ø
Vamonos Pa'l Monte,SalsaHits 2005,Eddie Palmieri,252.9ø
Don't Stop The Train,Arete,Eddie Palmieri,401.8ø
Crew,Arete,Eddie Palmieri,238.1ø
Down In The Flood,16 Biggest Hits,Flatt & Scruggs,136.8ø
Dry Land Blues,Southern Blues - Volume 1,Furry Lewis,185.2ø
Cannon Ball Blues,Furry Lewis 1927 - 1929,Furry Lewis,168.9ø
Wish I Was Here,Vintage Crime,Cobra Verde,255.0ø
Media Whore,Vintage Crime,Cobra Verde,179.1ø
Every God For Himself,Vintage Crime,Cobra Verde,264.2ø
Catalogue,Vintage Crime,Cobra Verde,189.7ø
Frantic,Best Of Anagram,Frantic Flintstones,142.6ø
Really Thru,The Fabulous 8-Track Sound of Superdrag,Superdrag,233.2ø
Load,The Fabulous 8-Track Sound of Superdrag,Superdrag,290.7ø
Liquor,The Fabulous 8-Track Sound of Superdrag,Superdrag,273.2ø
Blown Away,The Fabulous 8-Track Sound of Superdrag,Superdrag,176.7ø
Bloody Hell,The Fabulous 8-Track Sound of Superdrag,Superdrag,264.5ø
8-Jun,The Fabulous 8-Track Sound of Superdrag,Superdrag,254.7ø
Pra que vou recordar o que chorei,Minha Cara,Mart'nalia,272.5ø
Minha cara,Minha Cara,Mart'nalia,283.6ø
Grande amor,Minha Cara,Mart'nalia,221.3ø
Entretanto,Minha Cara,Mart'nalia,232.5ø
Conto de areia,Minha Cara,Mart'nalia,221.0ø
Calma,Minha Cara,Mart'nalia,329.0ø
A flor e o samba - Parei na sua,Minha Cara,Mart'nalia,266.2ø
My Man Is A Sweet Man,21 Of The Best 1971-83,Millie Jackson,151.5ø
No Es Tu Sombra,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,279.0ø
Jaguar House,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,230.6ø
Hermoza From Heaven,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,277.7ø
Hermana Sista,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,368.5ø
Chaco,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,280.5ø
Abismo,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,277.4ø
Abarajame,Ninja Mental - Unplugged MTV,Illya Kuryaki And The Valderramas,249.4ø
What U N*ggaz Thought,Killa Kali,Celly Cel,286.7ø
Tha Bullet,The Best Of Celly Cel,Celly Cel,283.9ø
Skanlezz Call,Killa Kali,Celly Cel,44.3ø
Round 2 Intro,Killa Kali,Celly Cel,108.0ø
Remember Where You Came From,The Best Of Celly Cel,Celly Cel,256.5ø
Playerizm,Killa Kali,Celly Cel,303.5ø
Killa Kali,Killa Kali,Celly Cel,301.3ø
It's Goin' Down,The Best Of Celly Cel,Celly Cel,325.0ø
It's Goin Down,Killa Kali,Celly Cel,324.6ø
Can't Tell Me Shit,The Best Of Celly Cel,Celly Cel,318.2ø
The Bad Hand Too,Back Street Life,Totally Insane,254.8ø
The 4-1-1,Back Street Life,Totally Insane,245.2ø
Neighborhood Rockstarz,Back Street Life,Totally Insane ft Money Marc _ Scoot Dogg_ Backstreet Mentality,276.8ø
Follow Me,Back Street Life,Totally Insane,296.7ø
Fast Lane,Back Street Life,Totally Insane,249.5ø
Done Deal,Underground Hip Hop,Totally Insane,289.4ø
4-Ever,Back Street Life,Totally Insane,201.6ø
'Til You Were Gone,Soul Satisfaction 3 - Motown Delights_ Soft-Centred Soul,Smokey Robinson & The Miracles,170.9ø
Thirteen Blood Red Rosebuds (Album Version),Mission Of The Crossroad Palms,Steve Forbert,159.6ø
The Trouble With Angels (Album Version),Mission Of The Crossroad Palms,Steve Forbert,230.6ø
The Last Rays Of Sunlight (Album Version),Mission Of The Crossroad Palms,Steve Forbert,215.5ø
Romeo's Tune,Strange Names & New Sensations,Steve Forbert,234.4ø
Real Live Love (Album Version),Mission Of The Crossroad Palms,Steve Forbert,34.4ø
Oh_ To Be Back With You (Album Version),Mission Of The Crossroad Palms,Steve Forbert,281.5ø
It Sure Was Better Back Then,Folk Live From Mountain Stage,Steve Forbert,226.1ø
It Isn't Gonna Be That Way,The Best Of Steve Forbert: What Kinda Guy?,Steve Forbert,301.1ø
Is It Any Wonder? (Album Version),Mission Of The Crossroad Palms,Steve Forbert,200.7ø
How Can You Change The World? (Album Version),Mission Of The Crossroad Palms,Steve Forbert,181.1ø
Don't Talk To Me (Album Version),Mission Of The Crossroad Palms,Steve Forbert,153.7ø
The Writing On The Wall,Gold,The Mavericks,200.5ø
My Secret Flame,Music For All Occasions,The Mavericks,207.9ø
Here Comes The Rain,The Mavericks Collection,The Mavericks,227.8ø
Stalker,Stalker,The Independents,220.0ø
Tributo A Martin Luther King,Retratos,Wilson Simonal,168.2ø
Madalena,Talento,Benito Di Paula,127.4ø
Lobo Bobo,Retratos,Wilson Simonal,193.1ø
Esta Chegando A Hora,Alegria Alegria & Alegria Alegria Vol.2,Wilson Simonal,184.5ø
Nada Por Mim,Marina Todas Ao Vivo,Marina Lima,221.2ø
Mesmo Que Seja Eu,Registros A Meia-Voz,Marina Lima,384.7ø
Bubbling Hot,Original Hits - Summer,Pato Banton,228.4ø
